,AGE,popage,propage,
1,Under 5 years,645488.00,0.0610,
2,5 to 9 years,683042.00,0.0650,
3,10 to 14 years,739018.00,0.0700,
4,15 to 19 years,754377.00,0.0720,
5,20 to 24 years,719378.00,0.0680,
6,25 to 29 years,746413.00,0.0710,
7,30 to 34 years,695830.00,0.0660,
8,35 to 39 years,713553.00,0.0680,
9,40 to 44 years,687491.00,0.0650,
10,45 to 49 years,712970.00,0.0680,
11,50 to 54 years,683360.00,0.0650,
12,55 to 59 years,667863.00,0.0630,
13,60 to 64 years,614264.00,0.0580,
14,65 to 69 years,497054.00,0.0470,
15,70 to 74 years,399894.00,0.0380,
16,Over 70,559480.00,0.0540,
